Sponsor Name,Party,Sponsored Count,Cosponsored Count,Weighted Score,Score Relative to Expectation,Rank
"Sen. Lee, Mike",Republican,2,14,3.228,0.823,186
"Sen. Udall, Tom",Democratic,6,42,4.454,0.821,188
"Sen. Heinrich, Martin",Democratic,0,29,2.544,0.804,194
"Sen. Cantwell, Maria",Democratic,6,96,7.605,0.797,197
"Sen. Cassidy, Bill",Republican,3,20,2.108,0.764,203
"Sen. Casey, Robert P., Jr.",Democratic,5,81,5.325,0.759,205
"Sen. Cruz, Ted",Republican,2,28,2.567,0.755,208
"Sen. Booker, Cory A.",Democratic,2,39,2.356,0.744,213
"Sen. Warren, Elizabeth",Democratic,1,50,2.318,0.732,216
"Sen. Hoeven, John",Republican,4,33,2.745,0.700,223
"Sen. Inhofe, James M.",Republican,11,108,9.735,0.671,232
"Sen. Warner, Mark R.",Democratic,4,40,3.613,0.666,234
"Sen. Shaheen, Jeanne",Democratic,4,64,3.535,0.651,238
"Sen. Capito, Shelley Moore",Republican,1,43,1.788,0.647,244
"Sen. Reed, Jack",Democratic,7,90,7.557,0.642,246
"Sen. Perdue, David",Republican,1,22,1.762,0.638,248
"Sen. Risch, James E.",Republican,2,34,2.777,0.600,259
"Sen. Hassan, Margaret Wood",Democratic,0,28,0.798,0.590,262
"Sen. Stabenow, Debbie",Democratic,4,105,5.402,0.566,267
"Sen. Roberts, Pat",Republican,7,83,7.636,0.565,268
"Sen. Ernst, Joni ",Republican,1,20,1.556,0.564,269
"Sen. Baldwin, Tammy",Democratic,1,46,1.748,0.552,272
"Sen. Brown, Sherrod",Democratic,2,93,3.745,0.534,276
"Sen. Cortez Masto, Catherine ",Democratic,0,27,0.709,0.525,277
"Sen. Toomey, Pat",Republican,3,28,2.009,0.512,284
"Sen. Shelby, Richard C.",Republican,7,207,10.167,0.511,286
"Sen. Kaine, Tim",Democratic,1,30,1.596,0.504,289
"Sen. Barrasso, John",Republican,2,38,2.661,0.486,294
"Sen. McConnell, Mitch",Republican,11,110,10.298,0.462,298
"Sen. Blackburn, Marsha",Republican,0,6,0.138,0.461,299
"Sen. Manchin, Joe, III",Democratic,0,43,1.792,0.447,304
"Sen. Bennet, Michael F.",Democratic,1,51,2.377,0.438,307
"Sen. Lankford, James",Republican,0,18,1.123,0.407,315
"Sen. Cramer, Kevin",Republican,0,7,0.108,0.361,330
"Sen. Graham, Lindsey",Republican,2,57,3.193,0.360,331
"Sen. Rounds, Mike ",Republican,0,31,0.945,0.342,338
"Sen. King, Angus S., Jr.",Democratic,0,45,1.069,0.338,339
"Sen. McSally, Martha",Republican,0,7,0.096,0.320,342
"Sen. Cotton, Tom",Republican,1,22,0.852,0.309,343
"Sen. Gillibrand, Kirsten E.",Democratic,0,67,1.627,0.300,346
"Sen. Sanders, Bernard",Democratic,1,48,2.031,0.289,351
"Sen. Harris, Kamala D.",Democratic,0,16,0.388,0.287,352
"Sen. Scott, Rick ",Republican,0,6,0.082,0.272,355
"Sen. Smith, Tina ",Democratic,0,5,0.088,0.268,356
"Sen. Markey, Edward J.",Democratic,0,38,0.840,0.265,357
"Sen. Van Hollen, Chris",Democratic,0,23,0.355,0.263,358
"Sen. Scott, Tim",Republican,1,17,0.759,0.223,365
"Sen. Braun, Mike ",Republican,0,5,0.066,0.221,366
"Sen. Romney, Mitt ",Republican,0,4,0.056,0.186,371
"Sen. Hyde-Smith, Cindy",Republican,0,4,0.034,0.113,380
"Sen. Murphy, Christopher",Democratic,0,26,0.342,0.108,381
"Sen. Paul, Rand",Republican,0,10,0.417,0.106,382
"Sen. Jones, Doug ",Democratic,0,4,0.031,0.095,384
"Sen. Young, Todd",Republican,0,5,0.043,0.024,391
"Sen. Sasse, Ben ",Republican,0,6,0.064,0.023,392
